project_path,test_success,maven_test_time,xml_test_time,overhead_time
twilio_twilio-java,true,91.761,90.58200000000002,1.1789999999999736
twitter_GraphJet,true,86.261,68.88700000000001,17.37399999999998
twitter_hbc,true,1.936,0.826,1.1099999999999999
twitter_hraven,true,292.802,274.0729999999999,18.7290000000001
usc-isi-i2_Web-Karma,true,36.716,27.942999999999998,8.773000000000003
vaadin_framework,false,147.028,36.16500000000001,110.86299999999997
viritin_viritin,true,10.801,1.6159999999999994,9.185
winterbe_github-matrix,false,3.175,2.077,1.0979999999999999
yahoo_egads,true,3.364,2.444,0.9199999999999999
yahoo_samoa,true,44.528,41.072,3.455999999999996
yahoo_storm-yarn,false,29.79,26.514,3.276
yinwang0_pysonar2,true,1.757,1.07,0.6869999999999998
ysc_word,true,21.341,20.241,1.1000000000000014
zeromq_jeromq,true,30.598,28.793000000000006,1.8049999999999926
