name,compiled,tested,tests,suites,failures,runs,mvn_time_avg,mvn_time_sd,xml_time_avg,xml_time_sd,perc_failures,timecost_group
mapstruct_mapstruct,FAILURE,FAILURE,1523,192,0,3,298.666666666667,3.05505046330389,262.405333333333,3.1366581473494,0.00,medium
matsim-org_matsim,SUCCESS,SUCCESS,1802,484,0,3,258.666666666667,1.52752523165195,221.906666666667,0.601456842452711,0.00,medium
maxmind_geoip-api-java,SUCCESS,SUCCESS,11,9,0,3,1.96333333333333,0.00665832811847943,0.00266666666666667,0.00152752523165195,0.00,short
mbechler_marshalsec,SUCCESS,FAILURE,16,1,16,3,4.71933333333333,0.140969263789428,2.97633333333333,0.137928725555387,100.00,short
melin_super-diamond,SUCCESS,FAILURE,4,1,4,3,1.34333333333333,0.0205020324195758,0.198666666666667,0.00929157324317756,100.00,short
mesos_storm,SUCCESS,SUCCESS,32,8,0,3,3.85166666666667,0.120001388880851,0.466333333333333,0.00709459888459759,0.00,short
Microsoft_Git-Credential-Manager-for-Mac-and-Linux,SUCCESS,SUCCESS,64,14,0,3,21.3926666666667,0.0437759446880741,17.116,0.0249999999999986,0.00,short
mikereedell_sunrisesunsetlib-java,SUCCESS,SUCCESS,20,4,0,3,1.996,0.0375099986670222,0.795333333333333,0.0213853532431273,0.00,short
mikiobraun_jblas,SUCCESS,SUCCESS,120,14,0,3,3.75,0.0573759531511241,0.0883333333333333,0.00702376916856849,0.00,short
mitre_HTTP-Proxy-Servlet,SUCCESS,SUCCESS,56,3,0,3,17.764,0.0398371685740836,16.152,0.0121243556529795,0.00,short
ModeShape_modeshape,FAILURE,FAILURE,6159,232,32,3,481.333333333333,1.15470053837925,450.310666666666,1.06246192088649,0.52,long
mongojack_mongojack,SUCCESS,SUCCESS,714,21,0,3,16.2073333333333,0.183022767254058,12.9576666666667,0.155101042334773,0.00,short
mono_sharpen,SUCCESS,FAILURE,278,38,25,3,7.98366666666667,0.341827929422587,6.54133333333333,0.296833848025008,8.99,short
Moocar_logback-gelf,SUCCESS,SUCCESS,4,1,0,3,10.7366666666667,0.208433042805917,0.233666666666667,0.00503322295684716,0.00,short
