name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
tulskiy_jkeymaster,0822082044,SUCCESS,SUCCESS,1.446,0.007,1,1,0
tulskiy_jkeymaster,0820095722,SUCCESS,SUCCESS,1.485,0.006,1,1,0
tulskiy_jkeymaster,0818134515,SUCCESS,SUCCESS,1.424,0.006,1,1,0
languagetool-org_languagetool,0822082044,SUCCESS,SUCCESS,336,294.1400000000002,853,348,0
languagetool-org_languagetool,0820095722,SUCCESS,SUCCESS,332,290.5009999999997,853,348,0
languagetool-org_languagetool,0818134515,SUCCESS,SUCCESS,330,289.103,853,348,0
yaphone_itchat4j,0829090641,SUCCESS,SUCCESS,2.329,0,0,0,0
yaphone_itchat4j,0829191149,SUCCESS,SUCCESS,2.326,0,0,0,0
yaphone_itchat4j,0830044330,SUCCESS,SUCCESS,2.354,0,0,0,0
Stratio_ingestion,0822082044,SUCCESS,SUCCESS,39.693,27.482,162,34,0
Stratio_ingestion,0820095722,SUCCESS,SUCCESS,39.387,27.203000000000003,162,34,0
Stratio_ingestion,0818134515,SUCCESS,SUCCESS,39.305,27.193000000000005,162,34,0
Netflix_Surus,0822082044,SUCCESS,SUCCESS,2.577,1.333,10,6,0
Netflix_Surus,0820095722,SUCCESS,SUCCESS,2.628,1.409,10,6,0
Netflix_Surus,0818134515,SUCCESS,SUCCESS,2.608,1.3409999999999997,10,6,0
spullara_mustache.java,0820095722,SUCCESS,SUCCESS,726,533.5640000000002,207,37,0
spullara_mustache.java,0818134515,SUCCESS,SUCCESS,726,533.802,207,37,0
spullara_mustache.java,0816180012,SUCCESS,SUCCESS,726,533.663,207,37,0
sismics_reader,0822082044,SUCCESS,FAILURE,11.461,7.866999999999999,71,15,3
sismics_reader,0820095722,SUCCESS,FAILURE,10.674,7.316999999999999,71,15,3
sismics_reader,0818134515,SUCCESS,FAILURE,11.885,8.521,71,15,3
opendaylight_controller,0822082044,?,?,0,0,0,0,0
opendaylight_controller,0820095722,?,?,0,0,0,0,0
opendaylight_controller,0818134515,?,?,0,0,0,0,0
davidmoten_geo,0822082044,SUCCESS,SUCCESS,3.904,1.595,92,9,0
davidmoten_geo,0820095722,SUCCESS,SUCCESS,3.757,1.4569999999999999,92,9,0
davidmoten_geo,0818134515,SUCCESS,SUCCESS,3.83,1.5019999999999998,92,9,0
dcaoyuan_nbscala,0822082044,SUCCESS,SUCCESS,38.121,0,0,0,0
dcaoyuan_nbscala,0820095722,SUCCESS,SUCCESS,37.846,0,0,0,0
dcaoyuan_nbscala,0818134515,SUCCESS,SUCCESS,37.603,0,0,0,0
jpmml_jpmml-sklearn,0829090641,SUCCESS,SUCCESS,36.04,33.300999999999995,92,17,0
jpmml_jpmml-sklearn,0829191149,SUCCESS,SUCCESS,36.809,34.068000000000005,92,17,0
jpmml_jpmml-sklearn,0830044330,SUCCESS,SUCCESS,35.918,33.275,92,17,0
WebGoat_WebGoat-Legacy,0822082044,SUCCESS,SUCCESS,3.215,0,0,0,0
WebGoat_WebGoat-Legacy,0820095722,SUCCESS,SUCCESS,3.105,0,0,0,0
WebGoat_WebGoat-Legacy,0818134515,SUCCESS,SUCCESS,3.37,0,0,0,0
hengyunabc_xdiamond,0822082044,SUCCESS,?,0,0.599,2,2,0
hengyunabc_xdiamond,0820095722,SUCCESS,?,0,0.606,2,2,0
hengyunabc_xdiamond,0818134515,SUCCESS,?,0,0.573,2,2,0
google_binnavi,0822082044,FAILURE,FAILURE,2.582,0,0,0,0
google_binnavi,0820095722,FAILURE,FAILURE,2.509,0,0,0,0
google_binnavi,0818134515,FAILURE,FAILURE,2.44,0,0,0,0
ios-driver_ios-driver,0822082044,?,?,0,0,0,0,0
ios-driver_ios-driver,0820095722,?,?,0,0,0,0,0
ios-driver_ios-driver,0818134515,?,?,0,0,0,0,0
dashbuilder_dashbuilder,0829090641,FAILURE,FAILURE,94,30.743000000000016,890,141,0
dashbuilder_dashbuilder,0829191149,FAILURE,FAILURE,92,30.523999999999997,890,141,0
dashbuilder_dashbuilder,0830044330,FAILURE,FAILURE,95,30.272999999999996,890,141,0
amplab_succinct,0822082044,SUCCESS,SUCCESS,96,44.12599999999999,203,55,0
amplab_succinct,0820095722,SUCCESS,SUCCESS,95,43.086999999999996,203,55,0
amplab_succinct,0818134515,SUCCESS,SUCCESS,97,44.28199999999999,203,55,0
wso2_msf4j,0822082044,SUCCESS,SUCCESS,179,39.424,264,3,0
wso2_msf4j,0820095722,SUCCESS,SUCCESS,178,39.855000000000004,264,3,0
wso2_msf4j,0818134515,SUCCESS,SUCCESS,186,39.742999999999995,264,3,0
yegor256_rultor,0822082044,SUCCESS,SUCCESS,16.614,138.68099999999995,142,66,0
yegor256_rultor,0820095722,SUCCESS,SUCCESS,16.54,138.04100000000003,142,66,0
yegor256_rultor,0818134515,SUCCESS,SUCCESS,16.767,138.67000000000002,142,66,0
wildfly-swarm_wildfly-swarm,0822082044,SUCCESS,FAILURE,2114,125.07500000000002,356,169,13
wildfly-swarm_wildfly-swarm,0820095722,SUCCESS,FAILURE,2113,124.8579999999999,356,169,13
wildfly-swarm_wildfly-swarm,0818134515,SUCCESS,FAILURE,2244,129.4249999999999,356,169,13
OpenHFT_Chronicle-Logger,0822082044,SUCCESS,SUCCESS,19.087,4.978000000000001,61,24,0
OpenHFT_Chronicle-Logger,0820095722,SUCCESS,SUCCESS,19.29,5.154,61,24,0
OpenHFT_Chronicle-Logger,0818134515,SUCCESS,SUCCESS,18.972,4.889999999999999,61,24,0
smooks_smooks,0822082044,SUCCESS,SUCCESS,225,143.8900000000001,1139,289,0
smooks_smooks,0820095722,SUCCESS,SUCCESS,223,141.422,1139,289,0
smooks_smooks,0818134515,SUCCESS,SUCCESS,227,144.24000000000007,1139,289,0
pinterest_secor,0822082044,SUCCESS,SUCCESS,10.602,4.739999999999998,90,23,0
pinterest_secor,0820095722,SUCCESS,SUCCESS,10.324,4.585,90,23,0
pinterest_secor,0818134515,SUCCESS,SUCCESS,10.273,4.559999999999999,90,23,0
JSQLParser_JSqlParser,0822082044,SUCCESS,SUCCESS,8.988,6.422,531,35,0
JSQLParser_JSqlParser,0820095722,SUCCESS,SUCCESS,8.939,6.344999999999998,531,35,0
JSQLParser_JSqlParser,0818134515,SUCCESS,SUCCESS,9.131,6.428999999999998,531,35,0
